code,name,old_code,old_name,hex
V32,Icy Periwinkle,V322,Rain Flower Purple,#d5d9fa
V34,Periwinkle,V330,Prune,#c1bcef
V38,Deep Periwinkle,R24,Dark Violet Light,#b0b7fc
V412,Lobelia,V270,Lobella,#644fc0
V414,Electric Indigo,V320,Gentian Violet,#29147e
V416,Deep Purple,P5,Aubergine,#060137
V46,Lavender,V250,Light Lavender,#8079d4
WG01,Lite Lavender,RG110,Red Grey 11,#dfd0db
WG04,Icy Lavender,RG120,Red Grey 12,#b29eac
WG06,Star Dust,RG150,Red Grey 150,#8b7682
WG08,Heathered Grape,RG080,Red Grey 08,#624e50
WG10,Porcelain,CG II 00,Cool Grey II 0,#f2eff9
WG26,Silver Grey,WG3,Warm Grey 3,#866f79
WG27,Antique Silver,WG4,Warm Grey 4,#84787a
WG37,Dark Charcoal,WG09,Warm Grey 9,#070304
WG38,Caviar,WG130,Warm Grey 13,#070408
Y00,Lemon Mist,Y010,Primrose,#feffed
Y02,Lemon Chiffon,Y030,Lemon Chiffon,#fefea1
Y03,Pastel Yellow,G030,Crescent Yellow,#ffffc3
Y06,Butter,Y040,Calamansi,#fdee57
Y07,Banana Cream,GY6,Anise,#f0dc61
Y09,Summer Lemon,Y050,Summer Lemon,#f6e043
Y111,Mustard,Y2,Sunflower,#f3a30c
Y14,Pale Lemon Yellow,G020,Pale Lemon Yellow,#ffffdd
Y17,Bright Lemon Yellow,Y080,Lightning Yellow,#fffe71
Y19,Canary,Y070,Acid Yellow,#fdd428
Y213,Dark Marigold,YR2,Marigold,#bb4c07
Y215,Toffee,Y180,Shallow Orange Cafe,#a9530b
Y216,Caramel,YR1,Dark Yellow,#9c560d
Y26,Light Gold,Y3,Barium Yellow,#fcd350
Y27,Sunflower,Y1,Pastel Yellow,#f9c335
Y28,Corn Yellow,Y6,Lemon Yellow,#fabb2e
Y29,Melon Yellow,YR33,Melon Yellow,#e3870d
Y311,Termite Beige,Y270,Pale Ocre,#bf9034
Y315,Olive Yellow,Y8,Olive Yellow,#85590d
Y34,Eggnog Yellow,Y121,Prmrose,#fef3a3
Y39,Straw,Y260,Yellow Dahlia,#e5aa45
Y410,Goldenrod,YR260,Yellowish Brown,#e4803d
Y412,Apple Cider,E490,Deep Orange,#cf6f2e
Y413,Fawn,E240,Chamois,#ab6124
Y415,Sand Storm,Y9,Yellow Ochre,#a45816
Y416,Golden Brown,Y210,Deep Teak,#632a09
Y42,Warm Ivory,Y110,Grayish Yellow,#fddcb5
Y45,Cream,YR240,Cream,#fdcc80
Y46,Peach Yogurt,YR250,Moccasin,#fda64e
Y49,Autumn Leaf,Y140,Nugget,#f19837
Y515,Light Walnut,E370,Light Walnut,#703316
Y55,Golden Champagne,Y120,Buttercup Yellow,#fdca95
Y59,Marigold Yellow,Y130,Mustard,#f8ae4f
Y611,Dark Sand,Y11,Brown Grey,#ab7a3e
Y62,Sandy Beige,E280,Sand White,#e3c490
Y69,Milk Tea,E210,Brick Beige,#d6ad6c
YG012,Yellow Green,GY4,Yellow Green,#97c22c
YG015,Dark Olive,GY42,Bronze Green,#455a09
YG06,Sugarcane,GY7,Sugarcane,#c9f27c
YG07,Honeydew Melon,G050,Celadon Green,#bae255
YG111,Celery,G060,Celery Yellow,#b6bd32
YG112,Lemon Lime,G070,Lemon Green,#bebf03
YG113,Pear Green,G080,Limeade,#95a502
YG211,Edamame,GY5,Absinthe,#638d08
YG212,Guacamole,GY8,Petits Pois,#4c5b07
YG215,Thatch Green,G300,Dark Olive,#302e0d
YG29,Apple Green,G260,Apple Green,#6d9f28
YG312,Artichoke Green,G270,Moss,#6a963d
YG36,Beige Green,G240,Beige Green,#6f895f
YG413,Fern Green,G470,Pine Tree Green,#3a7a2a
YG414,Dark Fern Green,GY43,Deep Olive Green,#235718
YG415,Cascade Green,G7,Chromium Oxide Green,#102815
YG510,Bud Green,GY3,Bud Green,#63b110
YG610,Bright Lime,G170,May Green,#71d725
YG611,Mantis Green,G190,Olive Green,#489e0e
YG66,Fresh Green,G130,Acid Green,#b7fc95
YGY02,Abalone Grey,RG030,Red Grey 03,#cebaaf
YGY05,Dovetail Grey,RG050,Red Grey 05,#99817c
YGY11,Collingwood Grey,WG01,Warm Grey 1,#d0b7a3
YGY13,Oyster Grey,WG050,Warm Grey 05,#cbbdae
YGY17,Platinum Grey,WG070,Warm Grey 07,#99847d
YGY18,Stone Grey,WG090,Warm Grey 09,#5c4b46
YR00,Barely Blush,E010,Pale Fruit Pink,#fee2c9
YR015,Burnt Orange,YR172,Tiger Lily,#cb450f
YR03,Pastel Blush,YR220,Yellowish Shade,#fdc5ae
YR04,Pastel Peach,R18,Pastel Peach,#fedfc4
YR06,Raw Cashew,E090,Eggshell White,#fbc4a3
YR07,Salmon Orange,YR4,Salmon Pink,#fc9f72
YR11,Peachy Blush,YR110,Mellow Peach,#fedde1
YR111,Persimmon,Y10,Apricot,#fc4c07
YR112,Orange,YR3,Orange,#fa3906
YR17,Sunset Orange,Y4,Quince,#fd934b
YR19,Marigold Orange,YR170,Chrome Orange,#fd6c48
YR213,Squash Orange,YR180,Lipstick Orange,#bc210b
YR215,Aged Cherry Wood,E080,Praline,#7a0d07
YR312,Light Earth Brown,E110,Dark Suntan,#a34f30
YR313,Potato Brown,BR2,Potato Brown,#983c10
YR314,Sandalwood,E260,Leather,#7e2b0e
YR33,Rose Cream,R19,Barely Beige,#fdb094
YR34,Peach Cream,R20,Powder Pink,#f99f8c
YR39,Cinnamon,BR3,Rose Beige,#d66842
YR43,Pale Cherry Pink,R080,Pale Cherry Pink,#fdcabe
YR45,Rosewater,E030,Pink Flamingo,#fdc0bd
YR47,Dusty Peach,R29,Pear Color,#f59f91
YR511,Pale Coral,YR090,Peach Pie,#fd5c3f
YR513,Papaya,YR190,Cadmium Orange,#fc2e17
YR515,Burnt Sienna,YR5,Terra Cotta,#931e0c
YR52,Cameo Rose,YR030,Carmine Red,#fddbc8
YR55,Pink Lemonade,E470,Tea Rose,#fdb4a9
YR57,Tropical Peach,BR208,Black Brown,#fdb78e
YR58,Pink Sand,R050,Chocolate Pink,#fd9486
YR59,Cantaloupe,YR070,Light Orange,#fd7d61
